Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
accessories,Category,accessories,17144,10.45%,"$75,385.15"
abc,Collections,abc jogger,25995,29.26%,"$950,809.84"
long,Length,long sleeve top,15372,8.19%,"$109,527.30"
skorts,Attribute,skorts,11091,7.00%,"$69,770.60"
align,Collections,align jacket,20150,7.81%,"$184,312.15"
free to be,Collections,free to be,20024,11.52%,"$129,321.05"
powder blue,Color name,powder blue,11514,7.20%,"$55,046.60"
blue,Color Family,powder blue,11514,7.20%,"$55,046.60"
black,Color name,black flare leggings,17442,6.57%,"$138,764.85"
leggings,Category,black flare leggings,17442,6.57%,"$138,764.85"
wunder under,Collections,wunder under,17332,10.44%,"$171,035.35"
everywhere,Collections,everywhere,17802,19.88%,"$173,903.64"
sunny coral,Color name,sunny coral,8855,5.60%,"$32,331.80"
abc,Collections,abc,18457,17.75%,"$475,612.00"
wunder train,Collections,wunder train short,13229,11.04%,"$97,170.25"
short,Length,wunder train short,13229,11.04%,"$97,170.25"
shorts,Category,shorts men's,10851,7.43%,"$80,115.85"
bike,Activity,bike shorts,11399,6.23%,"$46,478.75"
shorts,Category,bike shorts,11399,6.23%,"$46,478.75"
Hotty hot,Collections,Hotty hot shorts 2.5,12213,6.81%,"$68,291.80"
shorts,Category,Hotty hot shorts 2.5,12213,6.81%,"$68,291.80"
leggings,Category,ribbed leggings,17035,14.36%,"$292,489.87"
sweatpants,Category,sweatpants,17704,5.58%,"$115,440.05"
green,Color Family,green,14079,4.29%,"$55,935.55"
align,Collections,align joggers,17925,16.24%,"$282,199.60"
joggers,Category,align joggers,17925,16.24%,"$282,199.60"
men,Gender,men shorts,11836,8.27%,"$85,977.45"
shorts,Category,men shorts,11836,8.27%,"$85,977.45"
running,Activity,running shorts,12365,8.58%,"$81,429.35"
shorts,Category,running shorts,12365,8.58%,"$81,429.35"
short,Length,men's short,10316,7.74%,"$84,964.80"
love,Collections,love crew,16702,15.13%,"$157,520.41"
free to be,Collections,free to be bra,22900,20.66%,"$257,183.10"
short,Length,softstreme short,14733,9.16%,"$114,634.20"
strawberry milkshake,Color name,strawberry milkshake,27279,10.02%,"$256,182.25"
scuba,Collections,scuba oversized,31983,29.81%,"$1,114,264.94"
like a cloud,Collections,like a cloud longline,14300,17.03%,"$180,740.90"
poolside,Color name,poolside blue,8830,4.67%,"$31,900.10"
blue,Color Family,poolside blue,8830,4.67%,"$31,900.10"
abc,Collections,abc pants,12486,11.58%,"$214,875.70"
pants,Category,abc pants,12486,11.58%,"$214,875.70"
swiftly,Collections,swiftly relaxed,14618,16.64%,"$194,590.56"
yoga,Activity,yoga,11731,7.68%,"$74,212.05"
shorts,Category,hotty shorts,11311,8.94%,"$74,192.29"
medium forest,Color name,medium forest,12803,8.06%,"$90,201.15"
drysense,Collections,drysense,10925,11.83%,"$109,071.70"
everywhere,Collections,everywhere belt bag 1l,23038,40.34%,"$423,738.84"
align,Collections,align ribbed,17156,17.92%,"$334,217.05"
free to be,Collections,free to be wild,15742,10.69%,"$93,666.05"
align,Collections,align crop,12176,10.40%,"$116,326.75"
summer glow,Color name,summer glow,8620,6.47%,"$35,749.35"
wunder train,Collections,wunder train high rise,12454,17.49%,"$211,795.45"
dance,Activity,dance studio joggers,14853,12.28%,"$184,961.05"
dance studio,Collections,dance studio joggers,14853,12.28%,"$184,961.05"
joggers,Category,dance studio joggers,14853,12.28%,"$184,961.05"
women,Category,women sale,7560,7.31%,"$38,700.20"
blue,Color Family,blue,12638,2.99%,"$35,136.48"
leggings,Category,leggings with pockets,11928,15.15%,"$240,429.15"
cropped,Length,cropped define,15024,9.65%,"$157,895.00"
define,Collections,cropped define,15024,9.65%,"$157,895.00"
leggings,Category,leggings with pockets],8550,7.52%,"$83,847.00"
speed up,Collections,speed up high rise,13368,16.88%,"$155,900.65"
commission,Collections,commission slim pant,10634,13.65%,"$201,702.35"
pants,Category,Men’s pants,10492,8.93%,"$138,379.30"
dance,Activity,dance studio pant,22609,16.26%,"$443,346.75"
dance studio,Collections,dance studio pant,22609,16.26%,"$443,346.75"
pink,Color Family,pink shorts,10248,5.52%,"$38,424.10"
shorts,Category,pink shorts,10248,5.52%,"$38,424.10"
orange,Color Family,orange,10303,4.38%,"$31,003.95"
commission,Collections,commission pant,10093,12.68%,"$178,176.92"
commission,Collections,commission,10228,11.89%,"$157,464.31"
nomad,Color name,nomad,17097,10.67%,"$173,124.45"
short,Length,short sleeve,11277,7.30%,"$61,728.35"
swiftly,Collections,swiftly race,11158,9.89%,"$80,072.70"
long,Length,long sleeve swiftly,11449,6.47%,"$60,428.15"
swiftly,Collections,long sleeve swiftly,11449,6.47%,"$60,428.15"
