Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
dance,Activity,mid rise dance pant,40,30.77%,"$1,495.00"
yoga,Activity,mid rise yoga,21,4.76%,$256.00
mini,Length,mini flare short,99,26.04%,"$2,537.10"
short,Length,mini flare short,99,26.04%,"$2,537.10"
espresso,Color name,mens espresso,41,14.63%,$799.00
green,Color Family,mint green skirt,20,0.00%,$0.00
navy,Color Family,navy biker short,16,12.50%,$112.00
short,Length,navy biker short,16,12.50%,$112.00
navy,Color Family,navy blue women’s,11,9.09%,$20.00
blue,Color Family,navy blue women’s,11,9.09%,$20.00
navy,Color Family,navy tank women,15,14.29%,$96.00
women,Category,navy tank women,15,14.29%,$96.00
navy,Color Family,navy women pants,11,0.00%,$0.00
women,Category,navy women pants,11,0.00%,$0.00
pants,Category,navy women pants,11,0.00%,$0.00
neon,Color Family,neon ebb to street,19,0.00%,$0.00
ebb to street,Collections,neon ebb to street,19,0.00%,$0.00
neon,Color Family,neon green belt bag,20,0.00%,$0.00
green,Color Family,neon green belt bag,20,0.00%,$0.00
neon,Color Family,neon green tops,7,33.33%,$146.00
green,Color Family,neon green tops,7,33.33%,$146.00
keychains,Attribute,never lost keychains,28,10.71%,$98.00
wunder train,Collections,wunder train high rise short 6,138,30.66%,"$2,517.65"
short,Length,wunder train high rise short 6,138,30.66%,"$2,517.65"
6,Size,wunder train high rise short 6,138,30.66%,"$2,517.65"
yellow,Color Family,yellow hoodie,38,23.68%,$856.75
short,Length,nulux road to trail short,23,9.09%,$122.50
Like a cloud,Collections,Like a cloud bra *Light support,187,30.68%,"$3,415.20"
olive,Color Family,olive align leggings,12,16.67%,$194.00
align,Collections,olive align leggings,12,16.67%,$194.00
leggings,Category,olive align leggings,12,16.67%,$194.00
on the fly,Collections,on the fly wide leg,21,0.00%,$0.00
on the move,Activity,on the move hats,88,40.91%,"$1,481.50"
hats,Category,on the move hats,88,40.91%,"$1,481.50"
pace breaker,Collections,pace breaker lined short 7”,24,41.67%,$624.50
short,Length,pace breaker lined short 7”,24,41.67%,$624.50
pace breaker,Collections,"pace breaker short 7"" ll",17,11.76%,$272.00
short,Length,"pace breaker short 7"" ll",17,11.76%,$272.00
"7""",Inseam,"pace breaker short 7"" ll",17,11.76%,$272.00
5,Size,pacebreaker 5 inch,19,21.05%,$275.00
pants,Category,pants with side pocket,16,18.75%,$335.00
brown,Color Family,brown flares,34,2.94%,$118.00
pink,Color Family,pink bike short,15,0.00%,$0.00
bike,Activity,pink bike short,15,0.00%,$0.00
short,Length,pink bike short,15,0.00%,$0.00
men,Gender,men legging,34,33.33%,"$1,162.65"
pink,Color Family,pink flush define,20,5.00%,$100.30
define,Collections,pink flush define,20,5.00%,$100.30
pink,Color Family,pink lip gloss,8,25.00%,$182.00
lip gloss,Color name,pink lip gloss,8,25.00%,$182.00
pink,Color Family,pink peony belt bag,12,0.00%,$0.00
pink peony,Color name,pink peony belt bag,12,0.00%,$0.00
pink,Color Family,pink short sleeve shirt,21,14.29%,$272.00
short,Length,pink short sleeve shirt,21,14.29%,$272.00
pink,Color Family,pink tennis dress,22,4.55%,$89.00
tennis,Activity,pink tennis dress,22,4.55%,$89.00
pitch blue,Color name,pitch blue bottoms,12,16.67%,$236.00
blue,Color Family,pitch blue bottoms,12,16.67%,$236.00
grey,Color Family,plisse bloom multi/mauve grey,21,23.81%,$292.75
scuba,Collections,plus size scuba,23,0.00%,$0.00
poolside,Color name,poolside blue swiftly tech,20,0.00%,$0.00
blue,Color Family,poolside blue swiftly tech,20,0.00%,$0.00
swiftly,Collections,poolside blue swiftly tech,20,0.00%,$0.00
powder blue,Color name,powder blue women’s,8,0.00%,$0.00
blue,Color Family,powder blue women’s,8,0.00%,$0.00
power pivot,Collections,power pivot tank rib,18,11.11%,$58.00
white,Color name,white womens,32,6.90%,$96.50
purple,Color Family,purple ash align,49,23.40%,$773.65
purple ash,Color name,purple ash align,49,23.40%,$773.65
align,Collections,purple ash align,49,23.40%,$773.65
pink,Color Family,pink womens,31,3.23%,$68.00
purple,Color Family,purple yoga pants,17,11.76%,$138.00
yoga,Activity,purple yoga pants,17,11.76%,$138.00
pants,Category,purple yoga pants,17,11.76%,$138.00
swiftly,Collections,race length swiftly short sleeve,14,7.14%,$136.00
short,Length,race length swiftly short sleeve,14,7.14%,$136.00
Align,Collections,Align sweeth,30,20.69%,$348.00
long,Length,relaxed fit long sleeve shirt,21,9.52%,$157.00
running,Activity,relaxed running shirt,18,5.56%,$51.00
pants,Category,marble pants,29,3.57%,$89.00
purple,Color Family,purple as,29,6.90%,$236.00
restfeel,Collections,restfeel womens slides,38,64.86%,"$1,251.60"
slides,Attribute,restfeel womens slides,38,64.86%,"$1,251.60"
scuba,Collections,scuba overside,29,41.38%,"$1,298.50"
green,Color Family,ribbed green jasper,15,6.67%,$54.00
green jasper,Color name,ribbed green jasper,15,6.67%,$54.00
wunder train,Collections,wunder train high rise tight with pockets 25,122,30.77%,"$3,908.75"
25,Size,wunder train high rise tight with pockets 25,122,30.77%,"$3,908.75"
Swift speed,Collections,Swift speed high rise tight 28”,27,30.77%,$787.00
cropped,Length,ribbed softstream cropped tank,23,9.09%,$101.50
white,Color name,ribbed white tank,16,12.50%,$102.00
blue,Color Family,Royal blue legg,19,5.88%,$84.15
shorts,Category,run shorts women,18,11.11%,$176.00
women,Category,run shorts women,18,11.11%,$176.00
speed up,Collections,run speed up short,16,18.75%,$204.00
short,Length,run speed up short,16,18.75%,$204.00
pink,Color Family,bottle pink,27,7.41%,$86.00
running,Activity,running jacket men,20,35.00%,"$1,042.15"
men,Gender,running jacket men,20,35.00%,"$1,042.15"
bone,Color name,jogger bone,27,22.22%,$574.30
running,Activity,running shorts 2.5,17,0.00%,$0.00
shorts,Category,running shorts 2.5,17,0.00%,$0.00
Pink,Color Family,Pink cro,27,0.00%,$0.00
align,Collections,sale align tanks,17,0.00%,$0.00
align,Collections,align 3”,26,0.00%,$0.00
align,Collections,align rise,26,29.17%,$642.65
yoga,Activity,sale yoga mats,15,26.67%,$272.65
yoga mats,Category,sale yoga mats,15,26.67%,$272.65
0,Size,sales size 0,8,0.00%,$0.00
pants,Category,groovy pants,26,19.23%,$672.60
Scuba,Collections,Scuba full z,48,30.43%,"$1,474.00"
full,Size,Scuba full z,48,30.43%,"$1,474.00"
pants,Category,pants 28,26,15.38%,$570.15
28,Size,pants 28,26,15.38%,$570.15
scuba,Collections,scuba medium forest,15,28.57%,$342.95
medium forest,Color name,scuba medium forest,15,28.57%,$342.95
purple,Color Family,purple socks,26,16.00%,$94.00
socks,Category,purple socks,26,16.00%,$94.00
scuba,Collections,scuba oversized funne,72,50.00%,"$3,963.40"
Scuba,Collections,Scuba oversized funnel half zip,75,45.07%,"$3,626.20"
scuba,Collections,scuba oversized ha,52,43.14%,"$2,565.20"
sculpt,Collections,sculpt t shirt,28,14.29%,$341.20
sculpt,Collections,sculpt tank ii,15,6.67%,$128.00
sculpt,Collections,sculpt tank vent,22,36.36%,$316.30
swiftly,Collections,swiftly tech short sleeve shirt 2,26,30.77%,$478.45
short,Length,swiftly tech short sleeve shirt 2,26,30.77%,$478.45
2,Size,swiftly tech short sleeve shirt 2,26,30.77%,$478.45
leggings,Category,leggings graphic,25,4.00%,$118.00
6,Size,mens 6,25,8.00%,$204.00
shirts,Category,shirt sleeve shirts,15,6.67%,$136.00
short,Length,short 2 inch,7,14.29%,$64.00
2,Size,short 2 inch,7,14.29%,$64.00
short,Length,short 8 inch,10,10.00%,$64.00
8,Size,short 8 inch,10,10.00%,$64.00
white,Color name,white tees,25,8.33%,$202.00
short,Length,short men 9,6,0.00%,$0.00
men,Gender,short men 9,6,0.00%,$0.00
9,Size,short men 9,6,0.00%,$0.00
s,Size,2.5 s,24,0.00%,$0.00
Align,Collections,Align cl,24,4.17%,$62.90
short,Length,short sleeve black,27,4.00%,$68.00
black,Color name,short sleeve black,27,4.00%,$68.00
short,Length,short sleeve running shirts,9,11.11%,$136.00
running,Activity,short sleeve running shirts,9,11.11%,$136.00
shirts,Category,short sleeve running shirts,9,11.11%,$136.00
short,Length,short sleeve shirt nulu,18,0.00%,$0.00
short,Length,short sleeve swifly,22,4.55%,$68.00
Short,Length,Short sleeve T-shirts,14,7.14%,$48.00
T-shirts,Category,Short sleeve T-shirts,14,7.14%,$48.00
short,Length,short sleeve womens shirts,17,17.65%,$374.00
shirts,Category,short sleeve womens shirts,17,17.65%,$374.00
define,Collections,define m,24,4.17%,$138.00
m,Size,define m,24,4.17%,$138.00
love,Collections,love crewnexk,24,16.67%,$254.90
shorts,Category,shorts sale 2.5,12,0.00%,$0.00
shorts,Category,shorts size 20,12,25.00%,$161.00
20,Size,shorts size 20,12,25.00%,$161.00
shorts,Category,shorts with skirt,17,0.00%,$0.00
orange,Color Family,orange sneakers,24,16.67%,$769.00
sneakers,Attribute,orange sneakers,24,16.67%,$769.00
Red,Color Family,Red bel,24,4.17%,$76.00
joggers,Category,skinny joggers,24,26.09%,$992.00
silver drop,Color name,silver drop white belt bag,20,10.00%,$76.00
white,Color name,silver drop white belt bag,20,10.00%,$76.00
pants,Category,teal pants,24,4.55%,$89.00
2,Size,size 2 short,6,20.00%,$136.00
short,Length,size 2 short,6,20.00%,$136.00
pants,Category,train pants,24,26.09%,$866.00
Training,Activity,Training power,24,12.50%,$146.30
skirts,Category,skirts size 0,18,0.00%,$0.00
0,Size,skirts size 0,18,0.00%,$0.00
align,Collections,align panta,23,8.70%,$343.00
align,Collections,align ruched,23,0.00%,$0.00
skorts,Attribute,skorts on sale,12,33.33%,$339.00
blue,Color Family,blue nike,23,0.00%,$0.00
black,Color name,small black belt bag,20,5.00%,$38.00
pants,Category,logo pants,23,4.35%,$79.00
orange,Color Family,orange sho,23,0.00%,$0.00
purple,Color Family,purple sale,23,4.35%,$49.00
soft jersey,Collections,soft jersey classic-fit,58,36.84%,"$1,896.30"
soft jersey,Collections,soft jersey short 5,132,43.97%,"$3,300.80"
short,Length,soft jersey short 5,132,43.97%,"$3,300.80"
5,Size,soft jersey short 5,132,43.97%,"$3,300.80"
25,Size,25 pant,22,22.73%,$472.00
"6""",Inseam,"6"" align",22,23.81%,$314.00
align,Collections,"6"" align",22,23.81%,$314.00
hotty hot,Collections,hotty hot low-rise lined short 2.5”,13,30.77%,$369.00
short,Length,hotty hot low-rise lined short 2.5”,13,30.77%,$369.00
black,Color name,black energy,22,18.18%,$336.80
energy,Collections,black energy,22,18.18%,$336.80
blue,Color Family,blue hot,22,0.00%,$0.00
s,Size,cargo s,22,13.64%,$377.60
solar orange,Color name,solar orange men,14,28.57%,$369.00
orange,Color Family,solar orange men,14,28.57%,$369.00
men,Gender,solar orange men,14,28.57%,$369.00
sonic pink,Color name,sonic pink 2.5,16,6.25%,$136.00
pink,Color Family,sonic pink 2.5,16,6.25%,$136.00
sonic pink,Color name,sonic pink marble dye,15,0.00%,$0.00
pink,Color Family,sonic pink marble dye,15,0.00%,$0.00
sonic pink,Color name,sonic pink nulu,16,18.75%,$195.00
pink,Color Family,sonic pink nulu,16,18.75%,$195.00
sonic pink,Color name,sonic pink scuba half zip,15,0.00%,$0.00
pink,Color Family,sonic pink scuba half zip,15,0.00%,$0.00
scuba,Collections,sonic pink scuba half zip,15,0.00%,$0.00
sonic pink,Color name,sonic pink short sleeve,17,6.25%,$49.30
pink,Color Family,sonic pink short sleeve,17,6.25%,$49.30
short,Length,sonic pink short sleeve,17,6.25%,$49.30
speed up,Collections,speed up 0,13,0.00%,$0.00
0,Size,speed up 0,13,0.00%,$0.00
speed up,Collections,speed up shorts high,10,10.00%,$68.00
shorts,Category,speed up shorts high,10,10.00%,$68.00
25,Size,lululemon 25,22,13.64%,$240.50
neon,Color Family,neon shoes,22,4.55%,$79.00
shoes,Category,neon shoes,22,4.55%,$79.00
cropped,Length,sale cropped,22,18.18%,$464.00
steady state,Collections,steady state crew graphic,111,60.58%,"$6,971.50"
steady state,Collections,steady state sweat,38,21.62%,$944.50
4,Size,softstreme 4,22,18.18%,$334.00
m,Size,Straight leg m,33,9.38%,$512.00
trench,Color name,trench shorts,22,13.64%,$222.80
shorts,Category,trench shorts,22,13.64%,$222.80
strawberry milkshake,Color name,strawberry milkshake align tank,25,4.00%,$49.00
align,Collections,strawberry milkshake align tank,25,4.00%,$49.00
workout,Activity,workout mats,22,18.18%,$334.00
"28""",Inseam,"stretch high rise jogger 28""",17,11.76%,$206.50
short,Length,stretch high rise short,22,0.00%,$0.00
yoga,Activity,yoga ja,22,9.09%,$236.00
abc,Collections,abc comission,21,10.00%,$256.00
leggings,Category,aligns leggings,21,23.81%,$563.50
summer glow,Color name,summer glow tops,14,7.14%,$58.00
sunny coral,Color name,sunny coral align tank,20,0.00%,$0.00
align,Collections,sunny coral align tank,20,0.00%,$0.00
pink,Color Family,hotty pink,21,4.76%,$51.00
leggings,Category,super high leggings,21,33.33%,$638.00
surge,Collections,surge hybrid pant shorter,43,42.86%,"$1,906.60"
surge,Collections,surge mens shorts,13,15.38%,$157.00
shorts,Category,surge mens shorts,13,15.38%,$157.00
Poolside,Color name,Poolside scu,21,5.00%,$118.00
purple,Color Family,purple crew,21,4.76%,$118.00
women,Category,relaxed women,21,19.05%,$574.00
shorts,Category,runnning shorts,21,4.76%,$57.80
men,Gender,sweatshirt for men,17,6.25%,$128.00
m,Size,We m,21,0.00%,$0.00
long,Length,swift relaxed long sleeve,26,34.62%,$924.65
swiftly,Collections,swiftly tech cropped long sleeve shirt 20,70,30.88%,"$1,596.10"
cropped,Length,swiftly tech cropped long sleeve shirt 20,70,30.88%,"$1,596.10"
long,Length,swiftly tech cropped long sleeve shirt 20,70,30.88%,"$1,596.10"
20,Size,swiftly tech cropped long sleeve shirt 20,70,30.88%,"$1,596.10"
black,Color name,black shrug,20,5.00%,$59.00
blue,Color Family,blue leggin,20,0.00%,$0.00
swiftly,Collections,swiftly lobe sleeve,3,0.00%,$0.00
swiftly,Collections,swiftly long sleeve women,15,7.14%,$78.00
long,Length,swiftly long sleeve women,15,7.14%,$78.00
women,Category,swiftly long sleeve women,15,7.14%,$78.00
swiftly,Collections,swiftly mid weight,19,21.05%,$500.00
swiftly,Collections,swiftly short sleeve shirt 2.0,17,23.53%,$394.00
short,Length,swiftly short sleeve shirt 2.0,17,23.53%,$394.00
swiftly,Collections,swiftly tank high neck,14,23.08%,$217.50
"23""",Inseam,"lululemon align™ ribbed high-rise crop 23""",58,30.91%,"$1,621.45"
swiftly,Collections,swiftly tech mens,14,15.38%,$176.00
swiftly,Collections,swiftly tech mint,20,20.00%,$186.00
swiftly,Collections,swiftly tech rank,13,7.69%,$58.00
wunder train,Collections,"wunder train high rise tight 25""",102,30.93%,"$3,121.85"
"25""",Inseam,"wunder train high rise tight 25""",102,30.93%,"$3,121.85"
License to Train,Collections,License to Train Tight-Fit Tank Top,100,30.93%,"$1,801.40"
scuba,Collections,scuba high rise french terry jogger,42,30.95%,"$1,192.00"
Hiking,Activity,Hiking sk,20,5.00%,$59.00
hiking,Activity,insulated hiking,20,10.53%,$586.00
swiftly,Collections,swiftly womens shirts,10,0.00%,$0.00
shirts,Category,swiftly womens shirts,10,0.00%,$0.00
long,Length,swifty tech long sleve,23,13.04%,$214.50
short,Length,seamless short,20,0.00%,$0.00
joggers,Category,tall joggers men,17,11.76%,$236.00
men,Gender,tall joggers men,17,11.76%,$236.00
yoga,Activity,yoga sweatpants,20,5.00%,$118.00
sweatpants,Category,yoga sweatpants,20,5.00%,$118.00
Align,Collections,Align halte,19,5.26%,$68.00
full,Size,tank top full length,12,0.00%,$0.00
swiftly,Collections,teal swiftly tech,16,0.00%,$0.00
mini,Length,mini pleat,19,21.05%,$394.60
navy,Color Family,navy tight,19,31.58%,$570.00
tennis,Activity,tennis polo shirt,12,8.33%,$68.00
pistachio,Color name,pistachio align,19,5.56%,$44.00
align,Collections,pistachio align,19,5.56%,$44.00
scuba,Collections,scuba camo,19,5.56%,$79.00
scuba,Collections,scuba zipper,19,15.79%,$374.00
yoga,Activity,seamless yoga,19,0.00%,$0.00
Shorts,Category,Shorts h,19,15.79%,$204.00
groove,Collections,groove super-high rise flared pant nulu,73,30.99%,"$2,076.75"
short,Length,the short men,26,24.00%,$629.00
men,Gender,the short men,26,24.00%,$629.00
short,Length,the short mens,17,17.65%,$185.00
women,Category,women briefs,19,0.00%,$0.00
women,Category,women compression,19,5.26%,$76.00
sculpt,Collections,Women’s sculpt,19,26.32%,$327.00
tidal teal,Color name,tidal teal yoga,4,0.00%,$0.00
yoga,Activity,tidal teal yoga,4,0.00%,$0.00
shirts,Category,tie die shirts,13,0.00%,$0.00
mineral blue,Color name,tie dye mineral blue,13,8.33%,$128.00
blue,Color Family,tie dye mineral blue,13,8.33%,$128.00
pants,Category,aligh pants,18,5.56%,$128.00
cropped,Length,cropped rulu,18,16.67%,$226.80
lip gloss,Color name,top lip gloss,9,22.22%,$126.00
0,Size,tops size 0,21,9.52%,$131.00
golf,Activity,golf jogger,18,11.11%,$256.00
short,Length,track that short 5 inch,12,8.33%,$68.00
5,Size,track that short 5 inch,12,8.33%,$68.00
Men,Gender,Men bel,18,5.56%,$38.00
green,Color Family,mens green,18,11.76%,$276.00
olive,Color Family,olive jogger,18,16.67%,$266.80
short,Length,train to be short sleve,13,7.69%,$49.00
License to Train,Collections,"License to Train Lined Short 7""",122,31.25%,"$3,339.35"
Short,Length,"License to Train Lined Short 7""",122,31.25%,"$3,339.35"
"7""",Inseam,"License to Train Lined Short 7""",122,31.25%,"$3,339.35"
Poolside,Color name,Poolside h,18,0.00%,$0.00
pants,Category,run pants,18,18.75%,$296.15
white,Color name,sale white,18,33.33%,$337.00
travel,Size,travel matching sets,71,8.70%,"$1,064.30"
white,Color name,white cheeta,18,0.00%,$0.00
true navy,Color name,true navy tights,16,6.67%,$73.50
navy,Color Family,true navy tights,16,6.67%,$73.50
tights,Category,true navy tights,16,6.67%,$73.50
Twilight rose,Color name,Twilight rose dress,17,5.88%,$148.00
rose,Color Family,Twilight rose dress,17,5.88%,$148.00
rose,Color Family,twilling rose top,2,0.00%,$0.00
align,Collections,align 23’,17,17.65%,$304.00
align,Collections,align heritage,17,29.41%,$550.00
align,Collections,ultra high rise align shorts,7,0.00%,$0.00
shorts,Category,ultra high rise align shorts,7,0.00%,$0.00
pink,Color Family,barbie pink,17,11.76%,$194.00
black,Color name,black slacks,17,11.76%,$325.00
black,Color name,black swiftley,17,0.00%,$0.00
poolside,Color name,bra poolside,17,11.76%,$84.00
drysense,Collections,drysense sleeveless,17,11.76%,$261.80
golf,Activity,golf commission,17,0.00%,$0.00
commission,Collections,golf commission,17,0.00%,$0.00
pink,Color Family,heathered pink,17,6.25%,$118.00
women,Category,uv shirt women,12,0.00%,$0.00
cropped,Length,mens cropped,17,17.65%,$315.00
"7""",Inseam,"pacebreaker 7""",17,26.67%,$464.75
bags,Category,pickleball bags,17,0.00%,$0.00
poolside,Color name,poolside l,17,6.25%,$99.00
l,Size,poolside l,17,6.25%,$99.00
align,Collections,Waist length racer back align,21,0.00%,$0.00
swiftly,Collections,swiftly clearance,17,5.88%,$54.00
White,Color name,White chee,17,0.00%,$0.00
Women,Category,Women city,17,0.00%,$0.00
tights,Category,wonder tights,17,29.41%,$492.00
bags,Category,water bottle bags,21,28.57%,$257.50
pants,Category,water proof pants,21,4.76%,$109.00
bone,Color name,bone color,16,0.00%,$0.00
license to train,Collections,license to train tight fit tank,147,31.25%,"$3,052.00"
25,Size,high rise pant with pockets 25,33,31.25%,"$1,102.90"
"28""",Inseam,"lululemon align™ super-high-rise pant 28"" online only",19,31.25%,$442.00
white,Color name,white abc pants,16,12.50%,$168.00
abc,Collections,white abc pants,16,12.50%,$168.00
pants,Category,white abc pants,16,12.50%,$168.00
white,Color name,white bike shorts women,17,23.53%,$305.00
bike,Activity,white bike shorts women,17,23.53%,$305.00
shorts,Category,white bike shorts women,17,23.53%,$305.00
women,Category,white bike shorts women,17,23.53%,$305.00
Java,Color name,Java ali,16,0.00%,$0.00
white,Color name,white full zip,18,5.56%,$148.00
full,Size,white full zip,18,5.56%,$148.00
white,Color name,white key chain,27,11.11%,$53.00
poolside,Color name,poolside speedups,16,6.25%,$68.00
white,Color name,white opal joggers,13,0.00%,$0.00
white opal,Color name,white opal joggers,13,0.00%,$0.00
joggers,Category,white opal joggers,13,0.00%,$0.00
white,Color name,white opal top,18,11.76%,$158.80
white opal,Color name,white opal top,18,11.76%,$158.80
running,Activity,running ahorts,16,0.00%,$0.00
white,Color name,white running tank,19,21.05%,$214.30
running,Activity,white running tank,19,21.05%,$214.30
shirts,Category,shirts men's,16,6.25%,$39.00
white,Color name,white swiftly shirt,14,7.14%,$68.00
swiftly,Collections,white swiftly shirt,14,7.14%,$68.00
white,Color name,white tang top,22,0.00%,$0.00
white,Color name,white tank to,14,7.14%,$24.00
White,Color name,White tennis s,21,14.29%,$234.00
tennis,Activity,White tennis s,21,14.29%,$234.00
s,Size,White tennis s,21,14.29%,$234.00
white,Color name,white tennis tank,16,12.50%,$97.00
tennis,Activity,white tennis tank,16,12.50%,$97.00
white,Color name,white tshirt men,17,13.33%,$107.30
men,Gender,white tshirt men,17,13.33%,$107.30
white,Color name,white wunder puff,70,48.53%,"$4,243.50"
wunder puff,Collections,white wunder puff,70,48.53%,"$4,243.50"
workout,Activity,workout headband,16,35.71%,$106.00
yellow,Color Family,yellow tshirt,16,37.50%,$309.00
yoga,Activity,yoga t-shirt,16,6.25%,$29.00
s,Size,Wide leg s,31,3.23%,$128.00
joggers,Category,burgundy joggers,15,6.67%,$79.00
leggings,Category,clearence leggings,15,6.67%,$49.00
31,Size,winder train 31,15,13.33%,$171.50
leggings,Category,leggings seamless,15,0.00%,$0.00
neon,Color Family,neon too,15,6.67%,$39.00
travel,Size,travel back,15,0.00%,$0.00
travel,Size,travel crossbody,15,20.00%,$174.00
black,Color name,womans black shorts,25,20.00%,$302.00
shorts,Category,womans black shorts,25,20.00%,$302.00
women,Category,women waterproof,15,0.00%,$0.00
shirts,Category,womans t shirts,23,4.35%,$29.00
women,Category,women 8 shorts,10,0.00%,$0.00
8,Size,women 8 shorts,10,0.00%,$0.00
shorts,Category,women 8 shorts,10,0.00%,$0.00
women,Category,women army green,21,15.00%,$373.00
army green,Color name,women army green,21,15.00%,$373.00
green,Color Family,women army green,21,15.00%,$373.00
green,Color Family,bronzed green,14,7.14%,$41.65
women,Category,women dance pant,28,18.52%,$678.15
dance,Activity,women dance pant,28,18.52%,$678.15
dance,Activity,dance bras,14,0.00%,$0.00
women,Category,women green top,16,6.25%,$116.00
green,Color Family,women green top,16,6.25%,$116.00
women,Category,women gym shorts,11,9.09%,$68.00
shorts,Category,women gym shorts,11,9.09%,$68.00
women,Category,women jacket black,11,27.27%,$354.00
black,Color name,women jacket black,11,27.27%,$354.00
women,Category,women leggins sale,12,8.33%,$49.00
women,Category,women lounge pants,10,0.00%,$0.00
pants,Category,women lounge pants,10,0.00%,$0.00
khaki,Color Family,khaki bag,14,7.14%,$58.00
women,Category,women pants crop,21,19.05%,$365.00
pants,Category,women pants crop,21,19.05%,$365.00
women,Category,women puffer vest,43,17.07%,"$1,315.20"
women,Category,women red leggings,10,0.00%,$0.00
red,Color Family,women red leggings,10,0.00%,$0.00
leggings,Category,women red leggings,10,0.00%,$0.00
workout,Activity,men's workout,14,0.00%,$0.00
women,Category,women ribbed top,6,16.67%,$136.00
women,Category,women scuba pant,15,20.00%,$374.00
scuba,Collections,women scuba pant,15,20.00%,$374.00
women,Category,women scuba sweatshirt,19,26.32%,$903.20
scuba,Collections,women scuba sweatshirt,19,26.32%,$903.20
women,Category,women short 4,19,10.53%,$181.00
short,Length,women short 4,19,10.53%,$181.00
4,Size,women short 4,19,10.53%,$181.00
women,Category,women short sleeve tee,10,22.22%,$126.00
short,Length,women short sleeve tee,10,22.22%,$126.00
women,Category,women shorts 5 inch,10,20.00%,$243.00
shorts,Category,women shorts 5 inch,10,20.00%,$243.00
5,Size,women shorts 5 inch,10,20.00%,$243.00
women,Category,women shorts 6,15,7.14%,$49.00
shorts,Category,women shorts 6,15,7.14%,$49.00
6,Size,women shorts 6,15,7.14%,$49.00
shorts,Category,spin shorts,14,14.29%,$112.00
white,Color name,sweatshirt white,14,14.29%,$324.00
women,Category,women tank cotton,5,20.00%,$38.00
women,Category,women tennis pants,18,11.11%,$256.00
tennis,Activity,women tennis pants,18,11.11%,$256.00
pants,Category,women tennis pants,18,11.11%,$256.00
tennis,Activity,tennis skits,14,7.14%,$158.00
women,Category,women train to be tank,9,11.11%,$44.00
training,Activity,training t,14,7.69%,$68.00
white,Color name,white race,14,14.29%,$136.00
women,Category,women white short,17,17.65%,$215.00
white,Color name,women white short,17,17.65%,$215.00
short,Length,women white short,17,17.65%,$215.00
women,Category,women white socks,22,22.73%,$221.00
white,Color name,women white socks,22,22.73%,$221.00
socks,Category,women white socks,22,22.73%,$221.00
women,Category,women wonder train,15,6.67%,$59.00
align,Collections,Women’s align top,17,0.00%,$0.00
black,Color name,women’s black jogger,13,0.00%,$0.00
black,Color name,women’s black short,14,21.43%,$193.80
short,Length,women’s black short,14,21.43%,$193.80
black,Color name,women’s black sweater,16,0.00%,$0.00
black,Color name,black cam,13,0.00%,$0.00
blue,Color Family,blue backpacks,13,7.69%,$98.00
backpacks,Attribute,blue backpacks,13,7.69%,$98.00
blue,Color Family,blue bowline,13,9.09%,$156.00
bowline,Collections,blue bowline,13,9.09%,$156.00
crossbody bags,Attribute,women’s crossbody bags,7,28.57%,$127.00
bags,Category,women’s crossbody bags,7,28.57%,$127.00
joggers,Category,women’s high rise joggers,16,6.25%,$108.00
hiking,Activity,women’s hiking short,9,22.22%,$383.00
short,Length,women’s hiking short,9,22.22%,$383.00
hiking,Activity,women’s hiking socks,16,6.25%,$47.00
socks,Category,women’s hiking socks,16,6.25%,$47.00
"23""",Inseam,"speed wunder mid rise crop 23""",16,31.25%,$534.00
red,Color Family,women’s red tank,14,0.00%,$0.00
running,Activity,women’s running cap,13,15.38%,$162.00
short,Length,women’s short shorts,14,0.00%,$0.00
shorts,Category,women’s short shorts,14,0.00%,$0.00
women,Category,women sculpt,13,15.38%,$137.70
sculpt,Collections,women sculpt,13,15.38%,$137.70
work,Activity,work women,13,7.69%,$59.00
women,Category,work women,13,7.69%,$59.00
speed up,Collections,women’s speed up short,13,7.69%,$41.65
short,Length,women’s speed up short,13,7.69%,$41.65
"5""",Inseam,"5"" mens",12,0.00%,$0.00
bowline,Collections,bowline mens,12,25.00%,$173.75
short,Length,Women’s track that short,14,0.00%,$0.00
golf,Activity,golf ladies,12,0.00%,$0.00
white,Color name,women's white tank,14,21.43%,$287.60
align,Collections,womens align crop,11,18.18%,$195.00
pants,Category,womens baggy pants,19,10.53%,$266.00
align,Collections,print align,12,0.00%,$0.00
rich caramel,Color name,rich caramel,12,0.00%,$0.00
full,Size,womens full zip sweatshirt,9,11.11%,$118.00
short,Length,womens lined short,18,11.11%,$243.00
long,Length,womens long shorts,18,5.56%,$78.00
shorts,Category,womens long shorts,18,5.56%,$78.00
long,Length,womens long sleve,19,17.65%,$224.00
short,Length,womens mid rise short,16,0.00%,$0.00
on the fly,Collections,womens on the fly,9,11.11%,$148.00
visors,Attribute,women's visors,12,33.33%,$152.00
"28""",Inseam,"28"" pockets",11,27.27%,$473.00
red,Color Family,womens red shirt,19,15.79%,$190.00
red,Color Family,womens red skirt,11,18.18%,$166.00
pants,Category,womens ribbed pants,34,11.76%,$680.00
shorts,Category,womens tracker shorts,16,6.25%,$93.00
swiftly,Collections,swiftly cyan,11,0.00%,$0.00
training,Activity,training accessories,11,9.09%,$9.00
accessories,Category,training accessories,11,9.09%,$9.00
